City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Gumla,IN,71.49,overcast clouds,23.05,84.55,Hotel Bindesh - Chulhani - Best Hotel and Restaurant in Gumla
151,Kaohsiung,TW,82.35,broken clouds,22.6163,120.3133,御宿商旅-中山館
155,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
156,Acarau,BR,82.36,broken clouds,-2.8856,-40.12,castelo pizzaria
157,Celestun,MX,86.11,scattered clouds,20.8667,-90.4,Posada Lilia
160,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
162,Padang,ID,77.47,moderate rain,-0.9492,100.3543,Mercure Padang
163,Marang,MY,78.71,scattered clouds,5.2056,103.2059,DBarakah Homestay
166,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
167,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
170,Libreville,GA,80.62,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
172,Shingu,JP,70.5,broken clouds,33.7333,135.9833,Shingu UI Hotel
174,Sur,OM,83.77,broken clouds,22.5667,59.5289,Sur Plaza Hotel
175,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
186,Madras,IN,82.38,mist,13.0878,80.2785,City home
189,Labuhan,ID,77.16,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
190,Lumphat,KH,72.59,broken clouds,13.4878,106.9816,Lumphat Homestay
191,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
192,Ugoofaaru,MV,81.09,light rain,5.6667,73.0,Ungoofaaru Inn
193,Sambava,MG,71.11,light rain,-14.2667,50.1667,Melrose
196,Manicore,BR,82.53,broken clouds,-5.8092,-61.3003,Hotel Durval
198,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
201,Sorong,ID,77.94,broken clouds,-0.8833,131.25,waigo splash hotel
207,Pawa,PH,77.16,overcast clouds,13.1747,123.7328,Hotel St. Ellis
210,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
211,Inongo,CD,70.02,scattered clouds,-1.95,18.2667,Hotel Du Lac
214,Puerto Leguizamo,CO,89.89,overcast clouds,-0.1934,-74.7819,la casona de juancho
219,Guerrero Negro,MX,73.8,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
220,Alenquer,BR,89.94,broken clouds,-1.9417,-54.7383,Josilene Castro
222,Tamandare,BR,77.31,few clouds,-8.7597,-35.1047,Pousada 100 Passos
226,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
228,Imbituba,BR,77.83,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
229,Naze,JP,76.71,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
230,Bonoua,CI,78.42,light rain,5.2741,-3.595,Hotel Bon Samaritian
233,Kpandae,GH,76.89,light rain,8.4689,-0.0113,S. Amaski Guest House
238,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,HOTEL MIAMI
239,Hope,US,87.85,few clouds,33.6671,-93.5916,Best Western Hope
244,Tura,IN,73.33,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
249,Bosaso,SO,86.9,clear sky,11.2842,49.1816,Red Sea Hotel
250,Faanui,PF,79.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
255,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
256,Ponta Do Sol,PT,72.72,scattered clouds,32.6667,-17.1,Hotel do Campo
257,Eston,CA,82.29,clear sky,51.1501,-108.7514,Hearthside Place B&B
260,Gizo,SB,80.69,light rain,-8.103,156.8419,Imagination Island
261,Saint-Georges,GD,85.68,thunderstorm,12.0564,-61.7485,Radisson Grenada Beach Resort
263,Cedar City,US,76.19,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
264,Mount Pleasant,US,85.05,few clouds,32.7941,-79.8626,Best Western Patriots Point
265,Kita,ML,80.22,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
269,Bengkulu,ID,75.85,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
272,Joao Pinheiro,BR,85.26,overcast clouds,-17.7425,-46.1725,Hotel Santos
275,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
276,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
278,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
280,Poum,NC,70.88,broken clouds,-20.2333,164.0167,Gîte kajeon
281,Acajutla,SV,85.05,broken clouds,13.5928,-89.8275,asi es
282,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
283,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
287,Maroantsetra,MG,71.65,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
288,Isabela,PH,78.53,broken clouds,6.7085,121.9711,Isawad Resort
290,Lorengau,PG,81.27,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
296,Japura,ID,74.26,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
299,Pak Phanang,TH,81.07,scattered clouds,8.3511,100.202,Green Park Inn Hotel
300,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
307,Buala,SB,79.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
310,Pokhara,NP,71.44,broken clouds,28.2333,83.9833,Butterfly Lodge
311,Dyersburg,US,87.89,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
312,San Policarpo,PH,78.3,overcast clouds,12.1791,125.5072,Manong Aklan Resort
313,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
314,Mana,GF,84.92,clear sky,5.6592,-53.7767,LE SAMANA
316,Kismayo,SO,76.66,broken clouds,-0.3582,42.5454,Agan-Hotel
318,Neosho,US,89.76,overcast clouds,36.869,-94.368,Best Western Big Spring Lodge
319,Lahad Datu,MY,76.86,scattered clouds,5.0268,118.327,The 27th House
320,Parit Buntar,MY,78.78,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
322,Morondava,MG,74.62,broken clouds,-20.2833,44.2833,La Case Bambou
326,Gainesville,US,87.69,few clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
328,Auki,SB,78.08,overcast clouds,-8.7676,160.7034,Auki Motel
329,Caravelas,BR,75.67,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
332,Tharad,IN,84.36,scattered clouds,24.3961,71.6267,Shree Nandan Couriyar Service
333,Ewa Beach,US,85.95,few clouds,21.3156,-158.0072,Uncle Junior Robert
334,Lafiagi,NG,77.38,light rain,8.8667,5.4167,Bus group international
337,Dhanera,IN,82.24,scattered clouds,24.5167,72.0167,Umiyaji tilesh & senetry
338,Kilgore,US,86.29,broken clouds,32.3863,-94.8758,Best Western Inn Of Kilgore
340,Sinnamary,GF,84.83,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
342,Bhubaneswar,IN,82.09,overcast clouds,20.2333,85.8333,Hotel Pushpak
343,Teacapan,MX,86.68,clear sky,22.55,-105.75,Hotel los Mangos
344,Botwood,CA,71.08,overcast clouds,49.1499,-55.3482,Exploits Hostel
345,Sola,VU,79.63,broken clouds,-13.8833,167.55,Leumerus Bungalows
346,Tongren,CN,73.26,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
348,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
350,Altea,ES,77.79,broken clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
356,Ternate,ID,79.66,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
358,Okitipupa,NG,73.99,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
359,Malanje,AO,72.46,overcast clouds,-9.5402,16.341,Malanje Hotel
361,Cefalu,IT,79.41,overcast clouds,38.0386,14.0229,Hotel La Giara
362,Marrakesh,MA,84.27,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
364,Kavieng,PG,81.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
365,Havelock,US,80.83,clear sky,34.8791,-76.9013,Sherwood Motel
367,Mpika,ZM,72.16,overcast clouds,-11.8343,31.4529,Melodies Lodge
368,Batticaloa,LK,83.82,overcast clouds,7.7102,81.6924,Grand Star Guest House
369,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
370,Hithadhoo,MV,82.44,moderate rain,-0.6,73.0833,Scoop Guest House
380,Alice Springs,AU,78.35,light rain,-23.7,133.8833,Desert Palms Alice Springs
